id	match	period	time	note	subject	verb	object
41	136		04:45	Blue goalie pulled at 4:45	2 BRETTS 1 CUP	pulled	Theo Weber
42	137		04:00	Black goalie pulled at 4:00	SUNDAY NIGHT BALL-STARS	pulled	Ryan Schradin
43	138		04:30	Notes: Red goalie pulled at 4:30	REDUENAMI	pulled	Sean Greeney
44	139			Notes: Blue played without a goalie	2 BRETTS 1 CUP	played	No Goalie
45				Tucker Road Ice Rink burns down…	FIRE	burned	Rink
46	144		01:30	Notes: Red goalie pulled at 1:30	BRIGHT & HORNEY	pulled	Spencer Langrock
47	145		02:00	Notes: 🍆 goalie pulled at 2:00	🍆	pulled	Ryan Schradin
48	147		01:30	Notes: 🍆 goalie pulled at 1:30	🍆	pulled	Ryan Schradin
49	149		01:20	Notes: Mean Tangerine goalie pulled at 1:20	MEAN TANGERINE	pulled	David Cook
50	150		01:30	Notes: Mullady and the Tramps goalie pulled at 1:30	MULLADY AND THE TRAMPS	pulled	Dan Piotrowski
51	152		03:39	Notes: Bright & Horney goalie pulled at 3:39	BRIGHT & HORNEY	pulled	Spencer Langrock
52	155		01:30	Notes: Bright & Horney goalie pulled at 1:30.	BRIGHT & HORNEY	pulled	Spencer Langrock
53	156		02:00	Mullady and the Tramps goalie pulled at 2:00	MULLADY AND THE TRAMPS	pulled	Dan Piotrowski
54	158		02:00	Notes: Mullady and the Tramps goalie pulled at 2:00	MULLADY AND THE TRAMPS	pulled	Dan Piotrowski
55	159		04:00	Notes: Skewed Blue goalie pulled at 4:00	SKEWED BLUE	pulled	Dan Piotrowski
56	160		04:00	Notes: 🍆 goalie pulled at 4:00	🍆	pulled	Ryan Schradin
57	161		03:00	Notes: Mullady and the Tramps goalie pulled at 3:00	MULLADY AND THE TRAMPS	pulled	Dan Piotrowski
58	163		02:00	Victoria's Secret goalie pulled at 2:00	VICTORIOUS SECRET	pulled	David Cook
59	164		02:04	Note: Red goalie pulled at 2:04	VICTORIOUS SECRET	pulled	David Cook
60	165		01:10	Note: Blue goalie pulled at 1:10	GAME OVERMANN	pulled	Sean Greeney
61	171		02:00	Note: Red goalie pulled at 2:00	VICTORIOUS SECRET	pulled	David Cook
62	173		02:00	Notes: Black goalie pulled at 2:00	KYLO REN'S HIGH PANTS	pulled	Theo Weber
63	177		01:30	Pecan Sandies goalie pulled at 1:30	PECAN SANDIES	pulled	Sean Greeney
64	178		01:50	Dirty Mike goalie pulled at 1:50	DIRTY MIKE AND THE BOYS	pulled	Jason Gubi
65	179		02:15	Red goalie pulled at 2:15	PECAN SANDIES	pulled	Sean Greeney
66	180		01:01	Jone's Balls goalie pulled at 1:01	JONES' BALLS EXPRESSWAY	pulled	Mike Silber
67	183		02:00	Black goalie pulled at 2:00	PECAN SANDIES	pulled	Sean Greeney
68	184		08:15	Blue goalie pulled 8:15, returned 5:30, pulled 1:32	BRAD BODS	pulled	Theo Weber
69	184		05:30	Blue goalie pulled 8:15, returned 5:30, pulled 1:32	BRAD BODS	played	Theo Weber
70	184		01:32	Blue goalie pulled 8:15, returned 5:30, pulled 1:32	BRAD BODS	pulled	Theo Weber
71	186	2	13:00	Sean Greeney removed at 13:00 of 2nd half	PECAN SANDIES	pulled	Sean Greeney
72	186	2	01:02	Theo Weber pulled at 1:02 of 2nd half	BRAD BODS	pulled	Theo Weber
73	188		02:00	Notes: Red goalie pulled at 2:00	PECAN SANDIES	pulled	Mike Silber
74	190		01:30	Notes: Black goalie pulled at 1:30	JONES' BALLS EXPRESSWAY	pulled	Mike Silber
75	192	2		Red team pulled goalie...	red	pulled	Mike Silber
76	193	2	1:50	Black team pulled goalie...	black	pulled	Sean Greeney
77	194	2	0:23	Red team pulled goalie...	red	pulled	Sean Greeney
78	196			We miss Paul :(	we	miss	Paul Fajman
79	196	2	2:15	Black team pulled goalie...	black	pulled	Sean Greeney
80	199	2	08:40	Black team pulled goalie...	black	pulled	Sean Greeney
81	200	2	02:00	Blue team pulled goalie...	blue	pulled	Theo Weber
82	201	2	01:00	Black team pulled goalie...	black	pulled	Sean Greeney
